Cursinho Nova Geração (RJ),"INSCRIÇÕES AQUI Ao se inscrever, compareça à Aula Inaugural, dia 10 de setembro, sábado, às 9h, no local do cursinho. Confirme sua presença no evento: https://www.facebook.com/events/961902087252680/ Turma: Aulas todos os sábados das 9h às 17h. Local: Igreja Metodista – Rua Boulevard 28 de Setembro, 400, Vila Isabel. Processo Seletivo: Não há. O cursinho é voltado para alunos […]"
Antônio da Costa Santos (Unicamp/SP),"INSCRIÇÕES ENCERRADAS Turmas: De segunda a sexta, das 19h às 22h20, com atividades aos sábados das 8h às 16h. Quantidade de vagas: 50 vagas. Processo Seletivo: Não há. Caso a procura exceda o número de vagas será realizado sorteio, dando prioridade para alunos e ex-alunos de escola pública. Os não sorteados entrarão para a lista de espera e […]"
Castro Alves (Vila Maria Mazzei/SP),"INSCRIÇÕES AQUI Endereço: EE Castro Alves. Rua Francisco Bruno, 67. Vila Maria Mazzei. Do terminal Santana, pegar ônibus em direção à Jd. Pery Alto e andar 9 pontos. Aulas: todos os sábados em período integral, das 9h às 18h. Aula Inaugural: Dia 02/04, às 9h, no local. Contatos: Naiara 96453-8245 Tim Malu 99335-2727 Claro Renata 98813-8030 Claro"
Chico Mendes (Itapevi/SP),"INSCRIÇÕES AQUI O Cursinho Popular Chico Mendes é um cursinho pré-universitário gratuito, localizado em Itapevi, que já possui 9 anos de história! Muitos professores, alunos, amigos e companheiros construíram e ainda constroem o dia a dia do nosso Chicão! Que venha 2016! Mais um ano de lutas, vitórias, evolução e sonhos! Turmas: Aos sábados […]"
Diadema (Centro/SP),"Cursinho Popular Diadema  (Diadema/SP) INSCRIÇÕES AQUI! Turmas: Aos sábados em período integral, das 9h às 18h (Turmas de agosto). Processo Seletivo: Não há. - Importante: Se possível, levar uma foto 3×4 no dia da aula inaugural para a matrícula. Aula Inaugural: 13 de agosto (sábado), às 9h. Local: E.E. CEFAM – Diadema. Endereço:  Rua Antônio Doll de […]"
Diná (Osasco/SP),"INSCRIÇÕES AQUI Turmas: Turmas aos sábados em período integral, das 9h às 17h. Processo Seletivo: Não há. Apenas caso a procura exceda o número de vagas será realizado sorteio, dando prioridade para alunos e ex-alunos de escola pública. Os não sorteados entrarão para a lista de espera. Aula Inaugural: 06/08, 14h. Endereço: Escola Estadual José […]"
Laudelina (Ipiranga/SP),"INSCRIÇÕES AQUI Turmas: Turmas aos sábados em período integral, das 9h às 18h15. Processo Seletivo: Não há. Caso a procura exceda o número de vagas, os excedentes, por ordem de chegada, irão para uma lista de espera, até que se abram novas vagas. Endereço: EE A. Alcântara Machado. Rua Américo Ribeiro, 97, Alto do Ipiranga. […]"
Paulo Freire (Sorocaba/SP),"Inscreva-se AQUI. Após preencher o formulário, entre em contato com um dos coordenadores. Local: Na E.E Reverendo Ovídio Antônio de Souza. Rua Itangua, 750. Bairro Nova Esperança, Sorocaba (SP) Horário:  sábados, das 9h às 17h Contatos: Ariely: (15) 99767-1046 Guilherme: (15) 98801-9040 Lucas Henrique: (15) 99631-9038"
Pré-vestibulinho (Paraisópolis/SP),"Curso preparatório para o vestibulinho das ETECs INSCRIÇÕES AQUI Curso 100%GRATUITO! Curso oferecido pela Rede Emancipa e Ceu Paraisópolis para estudantes e moradores da região que estejam estudando no 8° e 9° ano do ensino fundamental e desejam ingressar na ETEC, especialmente na unidade de Paraisópolis!!! Situada na comunidade de Paraisópolis, próxima ao milionário bairro […]"
Rosa e Zé Luís (São Carlos/SP),"O Cursinho Popular de São Carlos oferece aulas aos sábados para a população da cidade que deseja prestar ENEM ou outros vestibulares.   INSCRIÇÕES AQUI Turmas: Turmas de 2016, aos sábados em período integral, das 9h00 às 16h40 Processo Seletivo: Não há. Apenas caso a procura exceda o número de vagas será realizado sorteio, dando prioridade […]"
Salvador Allende (Santana/SP),"INSCRIÇÕES AQUI Endereço: EMEFM Derville Alegretti. Rua Voluntários da Pátria, 777, Santana. Próximo ao metrô Portuguesa-Tietê. Aulas: todos os sábados em período integral, das 9h às 18h. Aula Inaugural: Dia 06/08, às 14h. Contatos: Rubens 98713-1306 Tim Malu 99335-2727 Claro Renata 98813-8030 Claro E-mail: cursinhoallende@gmail.com Site: http://redeemancipa.org.br/allende Facebook: http://fb.com/cursinho.allende - A escola não possui acesso para […]"
Salvadora Lopes (Sorocaba/SP),"INSCRIÇÕES AQUI O nome Salvadora Lopes é inspirado em uma figura marcante no cenário político sorocabano na década de 40 e 50. Idealista e revolucionária, foi ativa participante das lutas da classe operária e defensora ferrenha dos ideais de liberdade. Aulas aos sábados em tempo integral, das 9h às 17h, na Escola Estadual Lauro Sanchez. […]"
